ID,nom_scientifique,nom_commun,,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,lien_fiche_doris
625,Carcharias taurus,Le requin taureau,,138,280,320,0,70,,,,Espece essentiellement côtiere,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," FEY Laurent, MALIET Vincent in : DORIS, 21/01/2021 : Carcharias taurus Rafinesque, 1810",https://doris.ffessm.fr/ref/specie/1789
626,Carcharodon carcharias,Le grand requin blanc,,139,640,720,0,100,,,Mortel,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, MARAN Vincent, DE MADDALENA Alessandro, KUPFER Michel in : DORIS, 29/11/2020 : Carcharodon carcharias Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/1649
627,Lamna nasus,Le requin-taupe commun,,139,250,280,50,300,Pleine eau,,Un cas d’attaque mortelle connu,"Pleine eau, se rencontre parfois pres des côtes",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," CHATEL Paul, GIRARD Pascal in : DORIS, 19/01/2021 : Lamna nasus Bonnaterre, 1788",https://doris.ffessm.fr/ref/specie/4905
628,Isurus oxyrinchus,Le requin mako,,139,300,350,0,740,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," VIEUX-INGRASSIA Jean-Vincent, JEGLOT Samuel in : DORIS, 29/11/2020 : Isurus oxyrinchus Rafinesque, 1810",https://doris.ffessm.fr/ref/specie/4903
629,Isurus paucus,Le petit requin taupe,,139,250,300,0,500,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
630,Galeocerdo cuvier,Le requin tigre,,140,450,500,1,300,,,Mortel,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, SITTLER Alain-Pierre, DE MADDALENA Alessandro, BURON Daniel in : DORIS, 19/01/2021 : Galeocerdo cuvier (Péron & Le Sueur, 1822)",https://doris.ffessm.fr/ref/specie/1666
631,Prionace glauca,Le requin peau bleue,,140,250,385,0,400,Pleine eau,,,"Requin du grand large, parfois pres des côtes",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, SITTLER Alain-Pierre, CAPAPE Christian, KUPFER Michel in : DORIS, 27/03/2021 : Prionace glauca (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/1660
632,Carcharhinus altimus,Le requin-babosse,,140,250,300,90,300,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
633,Carcharhinus obscurus,Le requin sombre,,140,350,420,0,400,,,Attaques non fatales dans l’hemisphere sud,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," TISSOT Jean-Michel, ROCHEFORT Gaël, LE BRIS Sylvain in : DORIS, 07/05/2021 : Carcharhinus obscurus (Lesueur, 1818)",https://doris.ffessm.fr/ref/specie/4483
634,Carcharhinus galapagensis,Le requin des Galapagos,,140,300,370,0,200,,,"Agressif et territorial, des attaques mortelles",,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," TISSOT Jean-Michel, LE BRIS Sylvain in : DORIS, 07/05/2021 : Carcharhinus galapagensis (Snodgrass & Heller, 1905)",https://doris.ffessm.fr/ref/specie/5090
