,ID,nom_scientifique,nom_commun,citation_doris,lien_fiche_doris,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale
307,308,Gasterosteus aculeatus,L’épinoche," COROLLA Jean-Pierre, FEY Laurent, KUPFER Michel in : DORIS, 27/03/2021 : Gasterosteus aculeatus Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/1449,72,8.0,10,1.0,3.0,près du fond,,,,,,,,,,,
309,310,Balistes capriscus,Le baliste commun," TOURENNE Murielle, PETIT DE VOIZE Patrice, SOHIER Sandra, SITTLER Alain-Pierre in : DORIS, 09/11/2020 : Balistes capriscus Gmelin, 1789",https://doris.ffessm.fr/ref/specie/891,73,30.0,35,10.0,50.0,près du fond,,,,,,,,,,,
334,335,Aidablennius sphynx,La blennie sphynx," COUDRE Christian, ANDRÉ Frédéric in : DORIS, 18/07/2021 : Aidablennius sphynx (Valenciennes, 1836)",https://doris.ffessm.fr/ref/specie/2351,82,6.0,7,0.0,1.0,Vivent sur le fond,,,,,,,,,,,
335,336,Parablennius gattorugine,La blennie gattorugine," ADER Denis, ANDLAUER Anne, DUMAS Jacques, HUET Sylvie in : DORIS, 24/10/2022 : Parablennius gattorugine (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/653,82,20.0,25,3.0,20.0,Vivent sur le fond,,,,,,,,,,,
337,338,Parablennius sanguinolentus,La blennie palmicorne," COUDRE Christian, ANDRÉ Frédéric in : DORIS, 18/07/2022 : Parablennius sanguinolentus (Pallas, 1814)",https://doris.ffessm.fr/ref/specie/1532,82,18.0,20,0.0,2.0,Vivent sur le fond,,,,,,,,,,,
338,339,Parablennius rouxi,La blennie de roux," LAMARE Véronique, BURON Daniel in : DORIS, 18/04/2021 : Parablennius rouxi (Cocco, 1833)",https://doris.ffessm.fr/ref/specie/168,82,6.0,7,3.0,30.0,Vivent sur le fond,,,,,,,,,,,
339,340,Parablennius pilicornis,La blennie pilicorne," BAECKEROOT Gérard, BARRABES Michel, DE CASAMAJOR Marie-Noëlle, MARAN Vincent in : DORIS, 24/10/2022 : Parablennius pilicornis (Cuvier, 1829)",https://doris.ffessm.fr/ref/specie/705,82,9.0,10,1.0,5.0,Vivent sur le fond,,,,,,,,,,,
341,342,Parablennius incognitus,La blennie diabolo," DE CASAMAJOR Marie-Noëlle, BLACHE Sébastien, BACHELET Guy, BARRABES Michel in : DORIS, 16/04/2021 : Parablennius incognitus (Bath, 1968)",https://doris.ffessm.fr/ref/specie/800,82,6.0,7,0.5,3.0,Vivent sur le fond,,,,,,,,,,,
342,343,Parablennius zvonimiri,La blennie de Zvonimir," PAVON Daniel, LE BRIS Sylvain in : DORIS, 11/11/2020 : Parablennius zvonimiri (Kolombatovic, 1892)",https://doris.ffessm.fr/ref/specie/3500,82,6.0,7,1.0,5.0,Vivent sur le fond,,,,,,,,,,,
346,347,Coryphoblennius galerita,La blennie coiffée," LEGER David, GUICHARD Benjamin, LE BRIS Sylvain in : DORIS, 11/05/2021 : Coryphoblennius galerita (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/3972,82,8.0,9,0.0,0.5,Vivent sur le fond,,,,,,,,,,,
348,349,Lipophrys pholis,Le mordocet," DIDIERLAURENT Sylvie, ZIEMSKI Frédéric in : DORIS, 03/04/2022 : Lipophrys pholis (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/2695,82,14.0,16,0.0,3.0,Vivent sur le fond,,,,,,,,,,,
351,352,Microlipophrys canevae,La blennie de Caneva," DIDIERLAURENT Sylvie, BODILIS Pascaline in : DORIS, 08/02/2021 : Microlipophrys canevae (Vinciguerra, 1880)",https://doris.ffessm.fr/ref/specie/2715,82,6.0,7,0.5,2.0,Vivent sur le fond,,,,,,,,,,,
354,355,Salaria pavo,La blennie paon," FOURNIER Eric, BORGES Jean-Philippe, LAMARE Véronique in : DORIS, 28/09/2022 : Salaria pavo (Risso, 1810)",https://doris.ffessm.fr/ref/specie/932,82,10.0,12,0.5,2.0,Vivent sur le fond,,,,,,,,,,,
356,357,Scorpaena maderensis,La rascasse de Madère," BODILIS Pascaline, CHANET Bruno, LE BRIS Sylvain in : DORIS, 12/11/2020 : Scorpaena maderensis Valenciennes, 1833",https://doris.ffessm.fr/ref/specie/1825,83,10.0,12,3.0,20.0,Vivent sur le fond,,Epines venimeuses (piqure douloureuse),,,,,,,,,
357,358,Scorpaena porcus,La rascasse brune," BODILIS Pascaline, LE BRIS Sylvain in : DORIS, 09/11/2020 : Scorpaena porcus Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/741,83,22.0,25,5.0,20.0,Vivent sur le fond,,Epines venimeuses (piqure douloureuse),,,,,,,,,
359,360,Scorpaena notata,La petite rascasse rouge," VIGNAUD Thomas, PERRIER Philippe, BERNIER Emmanuel, LE BRIS Sylvain in : DORIS, 08/11/2020 : Scorpaena notata Rafinesque, 1810",https://doris.ffessm.fr/ref/specie/400,83,15.0,17,10.0,50.0,Vivent sur le fond,,Epines venimeuses (piqure douloureuse),,,,,,,,,
361,362,Scorpaena scrofa,Le chapon," VIGNAUD Thomas, PEAN Michel, GUICHARD Benjamin, LE BRIS Sylvain in : DORIS, 30/12/2020 : Scorpaena scrofa Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/656,83,35.0,40,20.0,100.0,Vivent sur le fond,,Epines venimeuses (piqure douloureuse),,,,,,,,,
368,369,Taurulus bubalis,Le chabot buffle," MARAN Vincent, GUICHARD Benjamin, ZIEMSKI Frédéric in : DORIS, 15/01/2021 : Taurulus bubalis (Euphrasen, 1786)",https://doris.ffessm.fr/ref/specie/947,84,14.0,16,1.0,30.0,Vivent sur le fond,,Epines de la tête venimeuses en période de reproduction (printemps),,,,,,,,,
377,378,Cottus gobio,Le chabot commun," COROLLA Jean-Pierre, KUPFER Michel in : DORIS, 21/09/2017 : Cottus gobio Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/241,84,10.0,12,0.0,1.0,Vivent sur le fond,,,,,,,,,,,
387,388,Gobius paganellus,Le gobie paganel," WEBER Matthias, SITTLER Alain-Pierre, REGUIEG Aedwina, CHANET Bruno in : DORIS, 09/07/2022 : Gobius paganellus Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/1181,85,8.0,10,0.0,3.0,Vivent sur le fond,,,,,,,,,,,
389,390,Gobius cobitis,Le gobie à grosse tête," MALIET Vincent, LOUISY Patrick, KUPFER Michel in : DORIS, 18/11/2021 : Gobius cobitis Pallas, 1814",https://doris.ffessm.fr/ref/specie/1599,85,20.0,25,0.0,2.0,Vivent sur le fond,,,,,,,,,,,
390,391,Gobius niger,Le gobie noir," BODILIS Pascaline, LE BRIS Sylvain, FRANCOUR Patrice in : DORIS, 11/04/2021 : Gobius niger Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/1819,85,12.0,13,0.0,10.0,Vivent sur le fond,,,,,,,,,,,
